Country/Region,Date,Cases,Deaths,Recovered
Afghanistan,2020-01-22,0,0,0
Afghanistan,2020-01-23,0,0,0
Afghanistan,2020-01-24,0,0,0
Afghanistan,2020-01-25,0,0,0
Afghanistan,2020-01-26,0,0,0
Afghanistan,2020-01-27,0,0,0
Afghanistan,2020-01-28,0,0,0
Afghanistan,2020-01-29,0,0,0
Afghanistan,2020-01-30,0,0,0
Afghanistan,2020-01-31,0,0,0
Afghanistan,2020-02-01,0,0,0
Afghanistan,2020-02-02,0,0,0
Afghanistan,2020-02-03,0,0,0
Afghanistan,2020-02-04,0,0,0
Afghanistan,2020-02-05,0,0,0
Afghanistan,2020-02-06,0,0,0
Afghanistan,2020-02-07,0,0,0
Afghanistan,2020-02-08,0,0,0
Afghanistan,2020-02-09,0,0,0
Afghanistan,2020-02-10,0,0,0
Afghanistan,2020-02-11,0,0,0
Afghanistan,2020-02-12,0,0,0
Afghanistan,2020-02-13,0,0,0
Afghanistan,2020-02-14,0,0,0
Afghanistan,2020-02-15,0,0,0
Afghanistan,2020-02-16,0,0,0
Afghanistan,2020-02-17,0,0,0
Afghanistan,2020-02-18,0,0,0
Afghanistan,2020-02-19,0,0,0
Afghanistan,2020-02-20,0,0,0
Afghanistan,2020-02-21,0,0,0
Afghanistan,2020-02-22,0,0,0
Afghanistan,2020-02-23,0,0,0
Afghanistan,2020-02-24,1,0,0
Afghanistan,2020-02-25,1,0,0
Afghanistan,2020-02-26,1,0,0
Afghanistan,2020-02-27,1,0,0
Afghanistan,2020-02-28,1,0,0
Afghanistan,2020-02-29,1,0,0
Afghanistan,2020-03-01,1,0,0
Afghanistan,2020-03-02,1,0,0
Afghanistan,2020-03-03,1,0,0
Afghanistan,2020-03-04,1,0,0
Afghanistan,2020-03-05,1,0,0
Afghanistan,2020-03-06,1,0,0
Afghanistan,2020-03-07,1,0,0
Afghanistan,2020-03-08,4,0,0
Afghanistan,2020-03-09,4,0,0
Afghanistan,2020-03-10,5,0,0
Afghanistan,2020-03-11,7,0,0
Afghanistan,2020-03-12,7,0,0
Afghanistan,2020-03-13,7,0,0
Afghanistan,2020-03-14,11,0,0
Afghanistan,2020-03-15,16,0,0
Afghanistan,2020-03-16,21,0,1
Afghanistan,2020-03-17,22,0,1
Afghanistan,2020-03-18,22,0,1
Afghanistan,2020-03-19,22,0,1
Afghanistan,2020-03-20,24,0,1
Afghanistan,2020-03-21,24,0,1
Afghanistan,2020-03-22,40,1,1
Afghanistan,2020-03-23,40,1,1
Afghanistan,2020-03-24,74,1,1
Afghanistan,2020-03-25,84,2,2
Afghanistan,2020-03-26,94,4,2
Afghanistan,2020-03-27,110,4,2
Afghanistan,2020-03-28,110,4,2
Afghanistan,2020-03-29,120,4,2
Albania,2020-01-22,0,0,0
Albania,2020-01-23,0,0,0
Albania,2020-01-24,0,0,0
Albania,2020-01-25,0,0,0
Albania,2020-01-26,0,0,0
Albania,2020-01-27,0,0,0
Albania,2020-01-28,0,0,0
Albania,2020-01-29,0,0,0
Albania,2020-01-30,0,0,0
Albania,2020-01-31,0,0,0
Albania,2020-02-01,0,0,0
Albania,2020-02-02,0,0,0
Albania,2020-02-03,0,0,0
Albania,2020-02-04,0,0,0
Albania,2020-02-05,0,0,0
Albania,2020-02-06,0,0,0
Albania,2020-02-07,0,0,0
Albania,2020-02-08,0,0,0
Albania,2020-02-09,0,0,0
Albania,2020-02-10,0,0,0
Albania,2020-02-11,0,0,0
Albania,2020-02-12,0,0,0
Albania,2020-02-13,0,0,0
Albania,2020-02-14,0,0,0
Albania,2020-02-15,0,0,0
Albania,2020-02-16,0,0,0
Albania,2020-02-17,0,0,0
Albania,2020-02-18,0,0,0
Albania,2020-02-19,0,0,0
Albania,2020-02-20,0,0,0
Albania,2020-02-21,0,0,0
Albania,2020-02-22,0,0,0
Albania,2020-02-23,0,0,0
Albania,2020-02-24,0,0,0
Albania,2020-02-25,0,0,0
Albania,2020-02-26,0,0,0
Albania,2020-02-27,0,0,0
Albania,2020-02-28,0,0,0
Albania,2020-02-29,0,0,0
Albania,2020-03-01,0,0,0
Albania,2020-03-02,0,0,0
Albania,2020-03-03,0,0,0
Albania,2020-03-04,0,0,0
Albania,2020-03-05,0,0,0
Albania,2020-03-06,0,0,0
Albania,2020-03-07,0,0,0
Albania,2020-03-08,0,0,0
Albania,2020-03-09,2,0,0
Albania,2020-03-10,10,0,0
Albania,2020-03-11,12,1,0
Albania,2020-03-12,23,1,0
Albania,2020-03-13,33,1,0
Albania,2020-03-14,38,1,0
Albania,2020-03-15,42,1,0
Albania,2020-03-16,51,1,0
Albania,2020-03-17,55,1,0
Albania,2020-03-18,59,2,0
Albania,2020-03-19,64,2,0
Albania,2020-03-20,70,2,0
Albania,2020-03-21,76,2,2
Albania,2020-03-22,89,2,2
Albania,2020-03-23,104,4,2
Albania,2020-03-24,123,5,10
Albania,2020-03-25,146,5,17
Albania,2020-03-26,174,6,17
Albania,2020-03-27,186,8,31
Albania,2020-03-28,197,10,31
Albania,2020-03-29,212,10,33
Algeria,2020-01-22,0,0,0
Algeria,2020-01-23,0,0,0
Algeria,2020-01-24,0,0,0
Algeria,2020-01-25,0,0,0
Algeria,2020-01-26,0,0,0
Algeria,2020-01-27,0,0,0
Algeria,2020-01-28,0,0,0
Algeria,2020-01-29,0,0,0
Algeria,2020-01-30,0,0,0
Algeria,2020-01-31,0,0,0
Algeria,2020-02-01,0,0,0
Algeria,2020-02-02,0,0,0
Algeria,2020-02-03,0,0,0
Algeria,2020-02-04,0,0,0
Algeria,2020-02-05,0,0,0
Algeria,2020-02-06,0,0,0
Algeria,2020-02-07,0,0,0
Algeria,2020-02-08,0,0,0
Algeria,2020-02-09,0,0,0
Algeria,2020-02-10,0,0,0
Algeria,2020-02-11,0,0,0
Algeria,2020-02-12,0,0,0
Algeria,2020-02-13,0,0,0
Algeria,2020-02-14,0,0,0
Algeria,2020-02-15,0,0,0
Algeria,2020-02-16,0,0,0
Algeria,2020-02-17,0,0,0
Algeria,2020-02-18,0,0,0
Algeria,2020-02-19,0,0,0
Algeria,2020-02-20,0,0,0
Algeria,2020-02-21,0,0,0
Algeria,2020-02-22,0,0,0
Algeria,2020-02-23,0,0,0
Algeria,2020-02-24,0,0,0
Algeria,2020-02-25,1,0,0
Algeria,2020-02-26,1,0,0
Algeria,2020-02-27,1,0,0
Algeria,2020-02-28,1,0,0
Algeria,2020-02-29,1,0,0
Algeria,2020-03-01,1,0,0
Algeria,2020-03-02,3,0,0
Algeria,2020-03-03,5,0,0
Algeria,2020-03-04,12,0,0
Algeria,2020-03-05,12,0,0
Algeria,2020-03-06,17,0,0
Algeria,2020-03-07,17,0,0
Algeria,2020-03-08,19,0,0
Algeria,2020-03-09,20,0,0
Algeria,2020-03-10,20,0,0
Algeria,2020-03-11,20,0,0
Algeria,2020-03-12,24,1,8
Algeria,2020-03-13,26,2,8
Algeria,2020-03-14,37,3,12
Algeria,2020-03-15,48,4,12
Algeria,2020-03-16,54,4,12
Algeria,2020-03-17,60,4,12
Algeria,2020-03-18,74,7,12
Algeria,2020-03-19,87,9,32
Algeria,2020-03-20,90,11,32
Algeria,2020-03-21,139,15,32
Algeria,2020-03-22,201,17,65
Algeria,2020-03-23,230,17,65
Algeria,2020-03-24,264,19,24
Algeria,2020-03-25,302,21,65
Algeria,2020-03-26,367,25,29
Algeria,2020-03-27,409,26,29
Algeria,2020-03-28,454,29,31
Algeria,2020-03-29,511,31,31
Andorra,2020-01-22,0,0,0
Andorra,2020-01-23,0,0,0
Andorra,2020-01-24,0,0,0
Andorra,2020-01-25,0,0,0
Andorra,2020-01-26,0,0,0
Andorra,2020-01-27,0,0,0
Andorra,2020-01-28,0,0,0
Andorra,2020-01-29,0,0,0
Andorra,2020-01-30,0,0,0
Andorra,2020-01-31,0,0,0
Andorra,2020-02-01,0,0,0
Andorra,2020-02-02,0,0,0
Andorra,2020-02-03,0,0,0
Andorra,2020-02-04,0,0,0
Andorra,2020-02-05,0,0,0
Andorra,2020-02-06,0,0,0
Andorra,2020-02-07,0,0,0
Andorra,2020-02-08,0,0,0
Andorra,2020-02-09,0,0,0
Andorra,2020-02-10,0,0,0
Andorra,2020-02-11,0,0,0
Andorra,2020-02-12,0,0,0
Andorra,2020-02-13,0,0,0
Andorra,2020-02-14,0,0,0
Andorra,2020-02-15,0,0,0
Andorra,2020-02-16,0,0,0
Andorra,2020-02-17,0,0,0
Andorra,2020-02-18,0,0,0
Andorra,2020-02-19,0,0,0
Andorra,2020-02-20,0,0,0
Andorra,2020-02-21,0,0,0
Andorra,2020-02-22,0,0,0
Andorra,2020-02-23,0,0,0
Andorra,2020-02-24,0,0,0
Andorra,2020-02-25,0,0,0
Andorra,2020-02-26,0,0,0
Andorra,2020-02-27,0,0,0
Andorra,2020-02-28,0,0,0
Andorra,2020-02-29,0,0,0
Andorra,2020-03-01,0,0,0
Andorra,2020-03-02,1,0,0
Andorra,2020-03-03,1,0,0
Andorra,2020-03-04,1,0,0
Andorra,2020-03-05,1,0,0
Andorra,2020-03-06,1,0,0
Andorra,2020-03-07,1,0,0
Andorra,2020-03-08,1,0,0
Andorra,2020-03-09,1,0,0
Andorra,2020-03-10,1,0,0
Andorra,2020-03-11,1,0,0
Andorra,2020-03-12,1,0,1
Andorra,2020-03-13,1,0,0
Andorra,2020-03-14,1,0,1
Andorra,2020-03-15,1,0,1
Andorra,2020-03-16,2,0,1
Andorra,2020-03-17,39,0,1
Andorra,2020-03-18,39,0,1
Andorra,2020-03-19,53,0,1
Andorra,2020-03-20,75,0,1
Andorra,2020-03-21,88,0,1
Andorra,2020-03-22,113,1,1
