Date,Cases,Deaths,Recovered
2020-01-22,555,17,28
2020-01-23,654,18,30
2020-01-24,941,26,36
2020-01-25,1434,42,39
2020-01-26,2118,56,52
2020-01-27,2927,82,61
2020-01-28,5578,131,107
2020-01-29,6166,133,126
2020-01-30,8234,171,143
2020-01-31,9927,213,222
2020-02-01,12038,259,284
2020-02-02,16787,362,472
2020-02-03,19881,426,623
2020-02-04,23892,492,852
2020-02-05,27635,564,1124
2020-02-06,30794,634,1487
2020-02-07,34391,719,2011
2020-02-08,37120,806,2616
2020-02-09,40150,906,3244
2020-02-10,42762,1013,3946
2020-02-11,44802,1113,4683
2020-02-12,45221,1118,5150
2020-02-13,60368,1371,6295
2020-02-14,66885,1523,8058
2020-02-15,69030,1666,9395
2020-02-16,71224,1770,10865
2020-02-17,73258,1868,12583
2020-02-18,75136,2007,14352
2020-02-19,75639,2122,16121
2020-02-20,76197,2247,18177
2020-02-21,76819,2251,18890
2020-02-22,78572,2458,22886
2020-02-23,78958,2469,23394
2020-02-24,79561,2629,25227
2020-02-25,80406,2708,27905
2020-02-26,81388,2770,30384
2020-02-27,82746,2814,33277
2020-02-28,84112,2872,36711
2020-02-29,86011,2941,39782
2020-03-01,88369,2996,42716
2020-03-02,90306,3085,45602
2020-03-03,92840,3160,48228
2020-03-04,95120,3254,51170
2020-03-05,97886,3348,53796
2020-03-06,101801,3460,55865
2020-03-07,105847,3558,58358
2020-03-08,109821,3802,60694
2020-03-09,113590,3988,62494
2020-03-10,118620,4262,64404
2020-03-11,125875,4615,67003
2020-03-12,128352,4720,68324
2020-03-13,145205,5404,70251
2020-03-14,156101,5819,72624
2020-03-15,167454,6440,76034
2020-03-16,181574,7126,78088
2020-03-17,197102,7905,80840
2020-03-18,214821,8733,83312
2020-03-19,242500,9867,84975
2020-03-20,272035,11299,87420
2020-03-21,304396,12973,91692
2020-03-22,336953,14651,97899
2020-03-23,378235,16505,98351
2020-03-24,418045,18625,108000
2020-03-25,467653,21181,113787
2020-03-26,529591,23970,122150
2020-03-27,593291,27198,130915
2020-03-28,660706,30652,139415
2020-03-29,720117,33925,149082
2020-03-30,782365,37582,164566
2020-03-31,857487,42107,178034
2020-04-01,932605,46809,193177
2020-04-02,1013157,52983,210263
2020-04-03,1095917,58787,225796
2020-04-04,1197405,64606,246152
2020-04-05,1272115,69374,260012
